Custom Test,
Total Iterations,Average Round-Trip-Time (ms),Average Throughput (kB/s),Average Errors Per Packet,Average Errors Per KB,
314529,0.070,35324.400,0.000,0.000,

Ping Test,
Test Number,Packet Size (bytes),Packets Transmitted,Packet Loss %,Minimum Round-Trip-Time (ms),Average Round-Trip-Time (ms),Maximum Round-Trip-Time (ms),Round-Trip-Time Standard Deviation (ms),
1,1052,10,0.000,0.048,0.079,0.112,0.019,
2,2076,10,0.000,0.054,0.079,0.117,0.017,
3,4124,10,0.000,0.070,0.095,0.173,0.032,
4,8220,10,0.000,0.089,0.111,0.182,0.027,
5,16412,10,0.000,0.096,0.112,0.162,0.018,

Traceroute Test,
Hop Number,Packet Size (bytes),Packet 1 Latency (ms),Packet 2 Latency (ms),Packet 3 Latency (ms),
1,60,0.117,0.060,0.057,

Iperf Test,
Time (s),Packets Sent,Total Data Sent,Data Sent Units,Total Data Received,Total Data Received Units,Average Throughput Sent,Throughput Sent Units,Average Throughput Received,Throughput Received Units,Jitter Sent (ms),Jitter Received (ms),Packet Loss % Sent,Packet Loss % Received,
1.000,2287,17.900,MBytes,17.900,MBytes,150.000,Mbits/sec,143.000,Mbits/sec,0.000,0.028,0.000,0.000,
2.000,4575,35.700,MBytes,35.700,MBytes,300.000,Mbits/sec,283.000,Mbits/sec,0.000,0.031,0.000,0.000,
3.000,6863,53.600,MBytes,53.600,MBytes,450.000,Mbits/sec,425.000,Mbits/sec,0.000,0.015,0.000,0.000,
4.000,9152,71.500,MBytes,71.500,MBytes,600.000,Mbits/sec,573.000,Mbits/sec,0.000,0.013,0.000,0.000,
5.000,11437,89.400,MBytes,89.400,MBytes,749.000,Mbits/sec,715.000,Mbits/sec,0.000,0.010,0.000,0.000,
6.000,13679,107.000,MBytes,106.000,MBytes,896.000,Mbits/sec,844.000,Mbits/sec,0.000,0.280,0.000,0.830,
7.000,16011,125.000,MBytes,125.000,MBytes,1.050,Gbits/sec,1.000,Gbits/sec,0.000,0.008,0.000,0.000,
8.000,18311,143.000,MBytes,140.000,MBytes,1.200,Gbits/sec,1.120,Gbits/sec,0.000,0.055,0.000,2.200,
9.000,20583,161.000,MBytes,160.000,MBytes,1.350,Gbits/sec,1.280,Gbits/sec,0.000,0.009,0.000,0.300,
10.000,22866,179.000,MBytes,178.000,MBytes,1.500,Gbits/sec,1.420,Gbits/sec,0.000,0.007,0.000,0.640,

